,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
507,Peru,Ucayali,-9.621718,-73.444929,32274,3060,0,1640596874000.0
508,Peru,Unknown,,,15068,334,0,1640596874000.0
509,Philippines,,12.879721,121.774017,2838640,51200,0,1640596874000.0
510,Poland,,51.9194,19.1451,4049838,94327,0,1640596874000.0
511,Portugal,,39.3999,-8.2245,1279785,18874,0,1640596874000.0
512,Qatar,,25.3548,51.1839,248092,615,0,1640596874000.0
513,Romania,,45.9432,24.9668,1802745,58551,0,1640596874000.0
514,Russia,Adygea Republic,44.6939006,40.1520421,26937,723,0,1640596874000.0
515,Russia,Altai Krai,52.6932243,82.6931424,117657,6478,0,1640596874000.0
516,Russia,Altai Republic,50.7114101,86.8572186,25212,506,0,1640596874000.0
517,Russia,Amur Oblast,52.8032368,128.437295,53463,602,0,1640596874000.0
518,Russia,Arkhangelsk Oblast,63.5589686,43.1221646,122402,1497,0,1640596874000.0
519,Russia,Astrakhan Oblast,47.1878186,47.608851,80409,2375,0,1640596874000.0
520,Russia,Bashkortostan Republic,54.8573563,57.1439682,120610,4317,0,1640596874000.0
521,Russia,Belgorod Oblast,50.7080119,37.5837615,80779,1719,0,1640596874000.0
522,Russia,Bryansk Oblast,52.8873315,33.415853,95668,2832,0,1640596874000.0
523,Russia,Buryatia Republic,52.7182426,109.492143,75549,2391,0,1640596874000.0
524,Russia,Chechen Republic,43.3976147,45.6985005,30672,922,0,1640596874000.0
525,Russia,Chelyabinsk Oblast,54.4223954,61.1865846,143200,5925,0,1640596874000.0
526,Russia,Chukotka Autonomous Okrug,66.0006475,169.4900869,2953,34,0,1640596874000.0
527,Russia,Chuvashia Republic,55.4259922,47.0849429,46250,3811,0,1640596874000.0
528,Russia,Dagestan Republic,43.0574916,47.1332224,65436,3169,0,1640596874000.0
529,Russia,Ingushetia Republic,43.11542075,45.01713552,28354,473,0,1640596874000.0
530,Russia,Irkutsk Oblast,56.6370122,104.719221,154592,6855,0,1640596874000.0
531,Russia,Ivanovo Oblast,56.9167446,41.4352137,67325,2466,0,1640596874000.0
532,Russia,Jewish Autonomous Okrug,48.57527615,132.6630746,11476,411,0,1640596874000.0
533,Russia,Kabardino-Balkarian Republic,43.4806048,43.5978976,41597,1411,0,1640596874000.0
534,Russia,Kaliningrad Oblast,54.7293041,21.1489473,81441,1228,0,1640596874000.0
535,Russia,Kalmykia Republic,46.2313018,45.3275745,33941,725,0,1640596874000.0
536,Russia,Kaluga Oblast,54.4382773,35.5272854,64562,1190,0,1640596874000.0
537,Russia,Kamchatka Krai,57.1914882,160.0383819,23668,505,0,1640596874000.0
538,Russia,Karachay-Cherkess Republic,43.7368326,41.7267991,31986,902,0,1640596874000.0
539,Russia,Karelia Republic,62.6194031,33.4920267,89277,1182,0,1640596874000.0
540,Russia,Kemerovo Oblast,54.5335781,87.342861,83629,1695,0,1640596874000.0
541,Russia,Khabarovsk Krai,51.6312684,136.121524,123389,1217,0,1640596874000.0
542,Russia,Khakassia Republic,53.72258845,91.44293627,53440,1939,0,1640596874000.0
543,Russia,Khanty-Mansi Autonomous Okrug,61.0259025,69.0982628,95213,1958,0,1640596874000.0
544,Russia,Kirov Oblast,57.9665589,49.4074599,78086,741,0,1640596874000.0
545,Russia,Komi Republic,63.9881421,54.3326073,96585,2586,0,1640596874000.0
546,Russia,Kostroma Oblast,58.424756,44.2533273,48490,1096,0,1640596874000.0
547,Russia,Krasnodar Krai,45.7684014,39.0261044,116975,9677,0,1640596874000.0
548,Russia,Krasnoyarsk Krai,63.3233807,97.0979974,170938,8470,0,1640596874000.0
549,Russia,Kurgan Oblast,55.7655302,64.5632681,49927,991,0,1640596874000.0
550,Russia,Kursk Oblast,51.6568453,36.4852695,81575,2001,0,1640596874000.0
551,Russia,Leningrad Oblast,60.1853296,32.3925325,100235,2983,0,1640596874000.0
552,Russia,Lipetsk Oblast,52.6935178,39.1122664,83348,2761,0,1640596874000.0
553,Russia,Magadan Oblast,62.48858785,153.9903764,13594,345,0,1640596874000.0
554,Russia,Mari El Republic,56.5767504,47.8817512,29175,927,0,1640596874000.0
555,Russia,Mordovia Republic,54.4419829,44.4661144,40094,1009,0,1640596874000.0
556,Russia,Moscow,55.7504461,37.6174943,2021841,36488,0,1640596874000.0
557,Russia,Moscow Oblast,55.5043158,38.0353929,636354,11917,0,1640596874000.0
558,Russia,Murmansk Oblast,68.0000418,33.9999151,91241,2752,0,1640596874000.0
559,Russia,Nenets Autonomous Okrug,68.27557185,57.1686375,3486,85,0,1640596874000.0
560,Russia,Nizhny Novgorod Oblast,55.4718033,44.0911594,230027,9701,0,1640596874000.0
561,Russia,North Ossetia - Alania Republic,42.7933611,44.6324493,30668,941,0,1640596874000.0
562,Russia,Novgorod Oblast,58.2843833,32.5169757,64719,749,0,1640596874000.0
563,Russia,Novosibirsk Oblast,54.9720169,79.4813924,93182,4178,0,1640596874000.0
564,Russia,Omsk Oblast,56.0935263,73.5099936,128874,3129,0,1640596874000.0
565,Russia,Orel Oblast,52.9685433,36.0692477,69773,1469,0,1640596874000.0
566,Russia,Orenburg Oblast,52.0269262,54.7276647,107417,3421,0,1640596874000.0
