Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,3284.0,1.0,929.0,288649.0,39477158.0,25734719.0,0.0,31_05_2021
United Kingdom,3111.0,6.0,907.0,331209.0,39384055.0,25539173.0,0.0,30_05_2021
United Kingdom,3240.0,7.0,887.0,602374.0,39259168.0,25332851.0,0.0,29_05_2021
United Kingdom,4028.0,10.0,886.0,640393.0,39075642.0,24914003.0,0.0,28_05_2021
United Kingdom,3380.0,10.0,872.0,690613.0,38871200.0,24478052.0,0.0,27_05_2021
United Kingdom,2987.0,9.0,895.0,663577.0,38614683.0,24043956.0,0.0,26_05_2021
United Kingdom,2410.0,15.0,921.0,574134.0,38378564.0,23616498.0,0.0,25_05_2021
United Kingdom,2368.0,3.0,960.0,455334.0,38192417.0,23228511.0,0.0,24_05_2021
United Kingdom,2092.0,5.0,924.0,378496.0,38070038.0,22895556.0,0.0,23_05_2021
United Kingdom,2523.0,6.0,887.0,762361.0,37943681.0,22643417.0,0.0,22_05_2021
United Kingdom,2702.0,9.0,922.0,646340.0,37738271.0,22086466.0,0.0,21_05_2021
United Kingdom,2694.0,7.0,912.0,688563.0,37518614.0,21659783.0,0.0,20_05_2021
United Kingdom,2135.0,3.0,918.0,633876.0,37250363.0,21239471.0,0.0,19_05_2021
United Kingdom,-2364.0,7.0,898.0,498101.0,36985505.0,20870453.0,0.0,18_05_2021
United Kingdom,1981.0,5.0,943.0,365782.0,36811405.0,20546452.0,0.0,17_05_2021
United Kingdom,1926.0,4.0,941.0,315063.0,36704672.0,20287403.0,0.0,16_05_2021
United Kingdom,2027.0,7.0,966.0,628577.0,36573354.0,20103658.0,0.0,15_05_2021
United Kingdom,2193.0,17.0,976.0,613470.0,36336023.0,19712412.0,0.0,14_05_2021
United Kingdom,2656.0,11.0,1001.0,637325.0,36115955.0,19319010.0,0.0,13_05_2021
United Kingdom,2284.0,11.0,1068.0,636647.0,35906671.0,18890969.0,0.0,12_05_2021
United Kingdom,2474.0,20.0,1106.0,485260.0,35722461.0,18438532.0,0.0,11_05_2021
United Kingdom,2358.0,4.0,1129.0,346888.0,35587348.0,18088385.0,0.0,10_05_2021
United Kingdom,1770.0,2.0,1118.0,287797.0,35472295.0,17856550.0,0.0,09_05_2021
United Kingdom,2047.0,5.0,1137.0,607864.0,35371669.0,17669379.0,0.0,08_05_2021
United Kingdom,2490.0,15.0,1157.0,598823.0,35202642.0,17230542.0,0.0,07_05_2021
United Kingdom,2613.0,13.0,1159.0,608471.0,35069641.0,16764720.0,0.0,06_05_2021
United Kingdom,2144.0,27.0,1239.0,543323.0,34934171.0,16291719.0,0.0,05_05_2021
United Kingdom,1947.0,4.0,1295.0,384656.0,34795074.0,15887493.0,0.0,04_05_2021
United Kingdom,1649.0,1.0,1303.0,200099.0,34667904.0,15630007.0,0.0,03_05_2021
United Kingdom,1671.0,14.0,1285.0,262815.0,34595304.0,15502508.0,0.0,02_05_2021
